created_date,hashtags,num_hashtags,tweet_length,tweet_text
2020-08-31 02:03:58,COVID19 covidhoax,2,125,"6% Of all #COVID19 Deaths were from just the virus. Under 10,000 total in US. Media Lies. This whole thing was BS, #covidhoax"
2020-08-31 02:03:35,COVID19,1,140,"#COVID19 is a hoax.  Fuck masks. If you don’t want our money, stop us as we walk in without our masks, and we’ll le… https://t.co/C2uMH9xZoy"
2020-08-31 02:02:55,COVID19 CovidHoax,2,148,@ProfPCDoherty There was no need to shut the borders in the first place. #COVID19 is a #CovidHoax &amp; you &amp; the insti… https://t.co/ZkiT2f90qN
2020-08-31 02:01:45,CovidHoax,1,140,#CovidHoax is over... Let's OPEN the world and go with our normal lives. Hugs your neighbors and have a big party b… https://t.co/t8YjvOtygX
2020-08-31 01:56:48,hoax Covidhoax lockdownhoax,3,130,@coasty30 @KevinFWarren @GovWhitmer @bigten Right up there with...flu! 🤣😂🤣😂 #hoax #Covidhoax #lockdownhoax https://t.co/LF9kOw6VOY
2020-08-31 01:54:16,CovidHoax,1,131,6% 6% 6% 6% 6% 6% And I believe more info is coming that will show ita actually less than that! #CovidHoax… https://t.co/w9N73U39PC
2020-08-31 01:41:36,,0,140,"@blakeshelton Blake, the best thing is for you to tell your significant other that she is on the wrong side of hist… https://t.co/JhJEeX3vnJ"
2020-08-31 01:35:32,CovidHoax,1,62,This is why we can never erase history..this is BS! #CovidHoax
2020-08-31 01:25:09,,0,140,"@RepSwalwell @realDonaldTrump Hahahahahaha!!!! Oh emmmm geeeeee! 

Dems are looooooonies. Trump’s fault.  The overi… https://t.co/cCefHQC1wB"
2020-08-31 01:23:57,Covid19,1,140,"Only 9,210 deaths caused by #Covid19 in the US, not the 153,504  publicized by the media.   Throw out your face dia… https://t.co/JKx8WbGJXP"
2020-08-31 00:51:36,BidenRiots covidhoax WalkAway,3,102,"@Prelude2Life Lmao....that's what you got out of that. Wow dumb AF! 
#BidenRiots 
#covidhoax
#WalkAway"
2020-08-31 00:50:23,trump2020 NoToMasks,2,93,@JoeBiden mandatory mask wearing. Vote red #trump2020 🇺🇸❤️ #NoToMasks https://t.co/hMdCKeAJaJ
2020-08-31 00:50:02,covidhoax,1,117,@KamalaHarris @JoeBiden The entire democratic party is a joke! Im going to enjoy this win more than 2016.  #covidhoax
2020-08-31 00:49:56,plandemic hoax covidhoax,3,75,6% .. no wonder wuhan China was throwin bangers #plandemic #hoax #covidhoax
2020-08-31 00:47:07,,0,140,NOBODY wants a globalist government and open borders except the globalists who stand to benefit from it at the expe… https://t.co/1PSGaPlmZu
2020-08-31 00:46:46,covidHoax,1,34,#covidHoax. That’s it. Pass it on.
2020-08-31 00:43:07,covidhoax,1,109,"@X22Report Yeah, something else as in life threatening condition that would most likely kill you.  #covidhoax"
2020-08-31 00:38:57,Plandemic CovidHoax,2,59,Completely!!! #Plandemic #CovidHoax https://t.co/5cKGKxmkLO
2020-08-31 00:38:45,CovidHoax,1,38,@catturd2 6% #CovidHoax —  pass it on.
2020-08-31 00:38:38,,0,140,".@NC_Governor .@TheRealReopenNC .@NCHouseGOP .@MyNCSenate .@LtGovDanForest .@NCGOP
Oops: It Looks Like the Vast Maj… https://t.co/BSnu70rQiE"
2020-08-31 00:36:23,,0,140,".@NC_Governor .@TheRealReopenNC .@MyNCSenate .@NCHouseGOP .@NCGOP .@LtGovDanForest 
CDC Releases the Shockingly Sma… https://t.co/jgPSTfSri7"
2020-08-31 00:34:29,CovidHoax,1,122,Now begins the slow leak of info where they decide to uncover that the data is cooked. #CovidHoax  https://t.co/hRWYlTGJka
2020-08-31 00:30:06,Trump2020LandslideVictory CovidHoax,2,137,"Who else believes this is backfiring on the Ds? 🙋‍♀️🙋🙋‍♂️
#Trump2020LandslideVictory   @OpenAmericaNow
#CovidHoax https://t.co/bB9aujWWRF"
