created_date,hashtags,num_hashtags,tweet_length,tweet_text
2020-08-31 02:08:31,2020sucks trumpisscar ihateithere wearamask,4,90,#2020sucks #trumpisscar #ihateithere #wearamask @ Black In America https://t.co/0xJHTodSHO
2020-08-31 02:07:58,antimasker antimasking DOJ pandemic,4,137,This is probably one of the most ridiculous of all #antimasker #antimasking excuses ever recorded #DOJ #pandemic… https://t.co/LQ53BRJVfI
2020-08-31 02:07:28,wearamask maskuphoosiers,2,69,"Just, like, do it. #wearamask #maskuphoosiers https://t.co/uaVHCyWnu2"
2020-08-31 02:07:16,,0,140,So one day a guy will be bragging how he didn’t ever wear a mask during the covid-19 years. That guy is the same gu… https://t.co/IL1taBNn96
2020-08-31 02:07:05,VMA,1,138,@ladygaga is an inspiration. She’s so brilliant and a great example of perseverance and power used for good. #VMA… https://t.co/Cr0gR0MWYS
2020-08-31 02:06:38,,0,140,"@MagdaSzubanski Contributing personally in a positive way on one medium - TV, doesn't change your negative use of t… https://t.co/KLEXbPc18I"
2020-08-31 02:06:36,,0,140,I don't know why people think that mask is bad for their health! Are these people came from Disneyland 😂 There's no… https://t.co/6rHsNSc8Z7
2020-08-31 02:05:54,1PJHS,1,139,"What’s Happening this week at #1PJHS

Monday
🏐 @ Dawson 4:15

Wednesday
🏐 vs. White Co.; 4:30

Thursday
🥎 @ Fannin… https://t.co/YuuVZy5Q09"
2020-08-31 02:05:26,District15Rally NotUntilItsSafe WearAMask,3,133,"#District15Rally and march for safe NYC schools, Tuesday, September 1 at 11:30 am #NotUntilItsSafe #WearAMask https://t.co/rD2TgUQEkz"
2020-08-31 02:05:04,,0,140,"181,000+ covid deaths, long lines at food banks, small businesses closed, classrooms shut ... a catastrophic failur… https://t.co/bgaHdiVetI"
2020-08-31 02:04:58,,0,140,@Lowes ⁦@LowesMedia⁩ @LowesCustomerCare where is your enforcement against customers - and your own staff not proper… https://t.co/X78SbSbE0k
2020-08-31 02:04:51,,0,136,"I've had a fever. Eventhough I wear a mask everywhere, I did what I thought was right and got tested for Covid.… https://t.co/ZqwrhfAKH0"
2020-08-31 02:04:08,,0,140,"Classes start again tomorrow. I’m not ready for what will be a very weird semester, missing the thing I love most (… https://t.co/87FV2JBzdW"
